PrecioUnit,fecha
144.4200,"2016-09-09 00:00:00"
144.4200,"2016-09-19 00:00:00"
144.4200,"2016-09-19 00:00:00"
144.4200,"2016-09-22 00:00:00"
144.4200,"2016-09-22 00:00:00"
247.9300,"2016-09-30 00:00:00"
144.4200,"2016-10-20 00:00:00"
144.4200,"2016-10-21 00:00:00"
144.4200,"2016-10-21 00:00:00"
144.4200,"2016-10-21 00:00:00"
144.4200,"2016-10-21 00:00:00"
144.4200,"2016-10-25 00:00:00"
144.4200,"2016-10-25 00:00:00"
144.4200,"2016-10-25 00:00:00"
144.4200,"2016-10-25 00:00:00"
247.9300,"2016-10-31 00:00:00"
300.0000,"2016-10-31 00:00:00"
247.9300,"2016-11-04 00:00:00"
300.0000,"2016-11-07 00:00:00"
247.9300,"2016-12-03 00:00:00"
247.9300,"2016-12-15 00:00:00"
300.0000,"2016-12-20 00:00:00"
247.9300,"2016-12-24 00:00:00"
144.4200,"2016-12-26 00:00:00"
144.4200,"2016-12-27 00:00:00"
144.4200,"2016-12-27 00:00:00"
144.4200,"2016-12-27 00:00:00"
247.9300,"2017-01-02 00:00:00"
345.0000,"2017-02-21 00:00:00"
285.1200,"2017-02-21 00:00:00"
144.4200,"2017-02-21 00:00:00"
256.2000,"2017-03-21 00:00:00"
256.2000,"2017-03-27 00:00:00"
144.5000,"2017-03-27 00:00:00"
144.5000,"2017-03-29 00:00:00"
144.5000,"2017-03-29 00:00:00"
144.5000,"2017-03-29 00:00:00"
247.9300,"2017-04-12 00:00:00"
256.2000,"2017-06-27 00:00:00"
