CodiInte;PorcInte;FechInte
1;1.64290;1991-05-30
15;1.72880;1991-06-15
30;1.79660;1991-06-30
31;1.80110;1991-07-01
45;1.86480;1991-07-15
61;1.94040;1991-07-31
62;1.94520;1991-08-01
76;2.01400;1991-08-15
92;2.09560;1991-08-31
93;2.10100;1991-09-01
107;2.17780;1991-09-15
122;2.26320;1991-09-30
123;2.26820;1991-10-01
137;2.33860;1991-10-15
153;2.42170;1991-10-31
154;2.39340;1991-11-01
168;2.44850;1991-11-15
183;2.50890;1991-11-30
184;2.51290;1991-12-01
198;2.56890;1991-12-15
214;2.63440;1991-12-31
215;1.60480;1992-01-01
229;1.60480;1992-01-15
245;1.61000;1992-01-31
246;1.61530;1992-02-01
260;1.61530;1992-02-15
273;1.62050;1992-02-28
274;1.62050;1992-02-29
275;1.62570;1992-03-01
289;1.62570;1992-03-15
305;1.63090;1992-03-31
306;1.63610;1992-04-01
320;1.63610;1992-04-15
335;1.64140;1992-04-30
336;1.64660;1992-05-01
350;1.64660;1992-05-15
366;1.65180;1992-05-31
367;1.65700;1992-06-01
381;1.65700;1992-06-15
396;1.66220;1992-06-30
397;1.66750;1992-07-01
411;1.66750;1992-07-15
427;1.67270;1992-07-31
428;1.67790;1992-08-01
442;1.67790;1992-08-15
458;1.68310;1992-08-31
459;1.68830;1992-09-01
473;1.68830;1992-09-15
488;1.69360;1992-09-30
489;1.69880;1992-10-01
503;1.69880;1992-10-15
519;1.70400;1992-10-31
520;1.70920;1992-11-01
534;1.70920;1992-11-15
549;1.71440;1992-11-30
550;1.71970;1992-12-01
564;1.71970;1992-12-15
580;1.72490;1992-12-31
581;1.73010;1993-01-01
595;1.73010;1993-01-15
611;1.73530;1993-01-31
612;1.74050;1993-02-01
626;1.74050;1993-02-15
639;1.74570;1993-02-28
640;1.75090;1993-03-01
654;1.75090;1993-03-15
670;1.75610;1993-03-31
671;1.76130;1993-04-01
685;1.76130;1993-04-15
700;1.76650;1993-04-30
701;1.77170;1993-05-01
715;1.77170;1993-05-15
731;1.77690;1993-05-31
732;1.78210;1993-06-01
746;1.78210;1993-06-15
761;1.78730;1993-06-30
762;1.79250;1993-07-01
776;1.79250;1993-07-15
792;1.79770;1993-07-31
793;1.80290;1993-08-01
807;1.80290;1993-08-15
823;1.80810;1993-08-31
824;1.81330;1993-09-01
838;1.81330;1993-09-15
853;1.81850;1993-09-30
854;1.82370;1993-10-01
868;1.82370;1993-10-15
884;1.82890;1993-10-31
885;1.83410;1993-11-01
899;1.83410;1993-11-15
914;1.83930;1993-11-30
915;1.84450;1993-12-01
929;1.84450;1993-12-15
945;1.84970;1993-12-31
946;1.85490;1994-01-01
960;1.85490;1994-01-15
976;1.86010;1994-01-31
977;1.86530;1994-02-01
991;1.86530;1994-02-15
1004;1.87050;1994-02-28
1005;1.87570;1994-03-01
1019;1.87570;1994-03-15
1035;1.88090;1994-03-31
1036;1.88610;1994-04-01
1050;1.88610;1994-04-15
1064;1.89130;1994-04-30
1065;1.89650;1994-05-01
1079;1.89650;1994-05-15
1095;1.90170;1994-05-31
1096;1.90690;1994-06-01
1110;1.90690;1994-06-15
1125;1.91210;1994-06-30
1126;1.92210;1994-07-01
1140;1.92210;1994-07-15
1156;1.93210;1994-07-31
1157;1.94210;1994-08-01
1171;1.94210;1994-08-15
1187;1.95210;1994-08-31
1188;1.96210;1994-09-01
1202;1.96210;1994-09-15
1217;1.97210;1994-09-30
1218;1.98210;1994-10-01
1232;1.98210;1994-10-15
1248;1.99210;1994-10-31
1249;2.00210;1994-11-01
1263;2.00210;1994-11-15
1278;2.01210;1994-11-30
1279;2.02210;1994-12-01
1293;2.02210;1994-12-15
1309;2.03210;1994-12-31
1310;2.04210;1995-01-01
1324;2.04210;1995-01-15
1340;2.04210;1995-01-31
1341;2.06210;1995-02-01
1355;2.06210;1995-02-15
1368;2.07210;1995-02-28
1369;2.08210;1995-03-01
1383;2.08210;1995-03-15
1399;2.09210;1995-03-31
1400;2.10210;1995-04-01
1414;2.10210;1995-04-15
1429;2.11210;1995-04-30
1430;2.12210;1995-05-01
1444;2.12210;1995-05-15
1460;2.13210;1995-05-31
1461;2.14210;1995-06-01
1475;2.14210;1995-06-15
1490;2.15210;1995-06-30
1491;2.16210;1995-07-01
1505;2.16210;1995-07-15
1521;2.17210;1995-07-31
1522;2.18210;1995-08-01
1536;2.18210;1995-08-15
1552;2.19210;1995-08-31
1553;2.20210;1995-09-01
1567;2.20210;1995-09-15
1582;2.21210;1995-09-30
1583;2.22210;1995-10-01
1597;2.22210;1995-10-15
1613;2.23210;1995-10-31
1614;2.24210;1995-11-01
1628;2.24210;1995-11-15
1642;2.25210;1995-11-30
1643;2.26210;1995-12-01
1657;2.26210;1995-12-15
1673;2.27210;1995-12-31
1674;2.28210;1996-01-01
1687;2.28210;1996-01-15
1703;2.29210;1996-01-31
1704;2.30210;1996-02-01
1718;2.30210;1996-02-15
1731;2.31210;1996-02-28
1732;2.31210;1996-02-29
1733;2.32210;1996-03-01
1747;2.32210;1996-03-15
1763;2.33210;1996-03-31
1764;2.34210;1996-04-01
1778;2.34210;1996-04-15
1793;2.35210;1996-04-30
1794;2.36210;1996-05-01
1808;2.36210;1996-05-15
1824;2.37210;1996-05-31
1825;2.38210;1996-06-01
1839;2.38210;1996-06-15
1854;2.39210;1996-06-30
1855;2.40210;1996-07-01
1869;2.40210;1996-07-15
1885;2.41210;1996-07-31
1886;2.42210;1996-08-01
1900;2.42210;1996-08-15
1916;2.43210;1996-08-31
1917;2.44210;1996-09-01
1931;2.44210;1996-09-15
1946;2.45210;1996-09-30
1947;2.46210;1996-10-01
1961;2.46210;1996-10-15
1977;2.47210;1996-10-31
1978;2.48210;1996-11-01
1991;2.48210;1996-11-15
2006;2.48210;1996-11-30
2007;2.50210;1996-12-01
2021;2.50210;1996-12-15
2037;2.51210;1996-12-31
2038;2.52210;1997-01-01
2052;2.52210;1997-01-15
2068;2.53210;1997-01-31
2069;2.54210;1997-02-01
2083;2.54210;1997-02-15
2096;2.55210;1997-02-28
2097;2.56210;1997-03-01
2111;2.56210;1997-03-15
2127;2.57210;1997-03-31
2128;2.58210;1997-04-01
2142;2.58210;1997-04-15
2157;2.59210;1997-04-30
2158;2.60210;1997-05-01
2172;2.60210;1997-05-15
2188;2.61210;1997-05-31
2189;2.62210;1997-06-01
2203;2.62210;1997-06-15
2218;2.63210;1997-06-30
2219;2.64210;1997-07-01
2233;2.64210;1997-07-15
2249;2.65210;1997-07-31
2250;2.66210;1997-08-01
2264;2.66210;1997-08-15
2280;2.67210;1997-08-31
2281;2.68210;1997-09-01
2295;2.68210;1997-09-15
2310;2.69210;1997-09-30
2311;2.70210;1997-10-01
2325;2.71210;1997-10-15
2341;2.71210;1997-10-31
2342;2.72210;1997-11-01
2356;2.72210;1997-11-15
2371;2.73210;1997-11-30
2372;2.74210;1997-12-01
2386;2.74210;1997-12-15
2402;2.75210;1997-12-31
2403;2.76210;1998-01-01
2417;2.76210;1998-01-15
2434;2.77210;1998-01-31
2435;2.78210;1998-02-01
2449;2.78210;1998-02-15
2462;2.79210;1998-02-28
2463;2.80210;1998-03-01
2477;2.80210;1998-03-15
2493;2.81210;1998-03-31
2494;2.81210;1998-04-01
2508;2.82210;1998-04-15
2523;2.83210;1998-04-30
2524;2.84210;1998-05-01
2538;2.84210;1998-05-15
2554;2.85210;1998-05-31
2555;2.86210;1998-06-01
2569;2.86210;1998-06-15
2584;2.87210;1998-06-30
2585;2.88210;1998-07-01
2599;2.88210;1998-07-15
2615;2.89210;1998-07-31
2616;2.90210;1998-08-01
2630;2.90210;1998-08-15
2646;2.91210;1998-08-31
2647;2.92210;1998-09-01
2661;2.92210;1998-09-15
2676;2.93210;1998-09-30
2677;2.94210;1998-10-01
2691;2.94210;1998-10-15
2707;2.95210;1998-10-31
2708;2.96210;1998-11-01
2722;2.96210;1998-11-15
2737;2.97210;1998-11-30
2738;2.98210;1998-12-01
2752;2.98210;1998-12-15
2768;2.99210;1998-12-31
2769;3.00210;1999-01-01
2783;3.00210;1999-01-15
2799;3.01210;1999-01-31
2800;3.02210;1999-02-01
2814;3.02210;1999-02-15
2827;3.03210;1999-02-28
2828;3.04210;1999-03-01
2842;3.04210;1999-03-15
2858;3.05210;1999-03-31
2859;3.06210;1999-04-01
2873;3.06210;1999-04-15
2888;3.07210;1999-04-30
2889;3.08210;1999-05-01
2903;3.08210;1999-05-15
2919;3.09210;1999-05-31
