año;mes;cantidad_pagos
2019;1;1965
2019;2;1992
2019;3;1977
2019;4;2426
2019;5;2096
2019;6;2351
2019;7;2328
2019;8;2885
2019;9;2896
2019;10;2864
2019;11;2649
2019;12;2745
2020;1;2833
2020;2;3074
2020;3;3104
2020;4;952
2020;5;3234
2020;6;3266
2020;7;3250
2020;8;3716
2020;9;3943
2020;10;3754
2020;11;4187
2020;12;4111
2021;1;5208
2021;2;3992
2021;3;5084
2021;4;5052
2021;5;4990
2021;6;5000
2021;7;4888
2021;8;5068
2021;9;4757
2021;10;5883
2021;11;5957
2021;12;5805
2022;1;5819
2022;2;5152
2022;3;6167
2022;4;6266
2022;5;6889
2022;6;6527
2022;7;6379
2022;8;6583
2022;9;6758
2022;10;6481
2022;11;5648
2022;12;5752
2023;1;7105
2023;2;6970
2023;3;7440
2023;4;5553
2023;5;6736
2023;6;6619
2023;7;6351
2023;8;5202
2023;9;4501
2023;10;4703
2023;11;4380
2023;12;4220
2024;1;4381
2024;2;4207
2024;3;4329
