año,mes,dia,cantidad_pagos
2019,1,2,147
2019,1,3,172
2019,1,4,175
2019,1,7,215
2019,1,8,206
2019,1,9,281
2019,1,10,258
2019,1,11,153
2019,1,14,142
2019,1,15,96
2019,1,16,36
2019,1,17,20
2019,1,18,20
2019,1,21,6
2019,1,22,11
2019,1,23,5
2019,1,24,5
2019,1,25,7
2019,1,28,5
2019,1,29,2
2019,1,30,3
2019,2,1,92
2019,2,4,211
2019,2,5,177
2019,2,6,178
2019,2,7,168
2019,2,8,324
2019,2,11,307
2019,2,12,232
2019,2,13,151
2019,2,14,53
2019,2,15,32
2019,2,18,22
2019,2,19,12
2019,2,20,5
2019,2,21,4
2019,2,22,9
2019,2,25,1
2019,2,26,4
2019,2,27,2
2019,2,28,8
2019,3,1,78
2019,3,6,241
2019,3,7,246
2019,3,8,342
2019,3,11,412
2019,3,12,187
2019,3,13,202
2019,3,14,103
2019,3,15,68
2019,3,18,26
2019,3,19,13
2019,3,20,22
2019,3,21,8
2019,3,22,7
2019,3,25,7
2019,3,27,8
2019,3,28,5
2019,3,29,2
2019,4,1,158
2019,4,3,176
2019,4,4,200
2019,4,5,158
2019,4,8,247
2019,4,9,281
2019,4,10,429
2019,4,11,185
2019,4,12,138
2019,4,15,139
2019,4,16,129
2019,4,17,37
2019,4,22,22
2019,4,23,26
2019,4,24,28
2019,4,25,13
2019,4,26,18
2019,4,29,21
2019,4,30,21
2019,5,2,99
2019,5,3,162
2019,5,6,193
2019,5,7,266
2019,5,8,173
2019,5,9,195
2019,5,10,322
2019,5,13,260
2019,5,14,147
2019,5,15,50
2019,5,16,38
2019,5,17,22
2019,5,20,13
2019,5,21,6
2019,5,22,9
2019,5,23,9
2019,5,24,11
2019,5,27,9
2019,5,28,27
2019,5,29,11
2019,5,30,29
2019,5,31,45
2019,6,3,182
2019,6,4,137
2019,6,5,163
2019,6,6,186
2019,6,7,327
2019,6,10,406
2019,6,11,230
2019,6,12,207
2019,6,13,135
2019,6,14,108
2019,6,18,46
2019,6,19,43
2019,6,21,30
2019,6,24,28
2019,6,25,36
2019,6,26,18
2019,6,27,21
2019,6,28,48
2019,7,1,108
2019,7,2,135
2019,7,3,146
2019,7,4,167
2019,7,5,185
2019,7,10,536
2019,7,11,289
2019,7,12,169
2019,7,15,169
2019,7,16,99
2019,7,17,80
2019,7,18,51
2019,7,19,49
2019,7,22,34
2019,7,23,26
2019,7,24,15
2019,7,26,14
2019,7,29,14
2019,7,30,26
2019,7,31,16
2019,8,1,164
2019,8,2,164
2019,8,5,242
2019,8,6,237
2019,8,7,314
2019,8,8,243
2019,8,9,334
2019,8,12,310
2019,8,13,165
2019,8,14,175
2019,8,15,121
2019,8,16,76
2019,8,20,67
2019,8,21,58
2019,8,22,43
2019,8,23,48
2019,8,26,38
2019,8,27,23
2019,8,28,13
2019,8,29,18
